                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.3113,                 1.2808,                 1.4599,                0.51336,                0.48725,                0.43762,                0.18711,                 1.8838,                 1.9932,                 1.9819,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.3117,                  1.286,                 1.4304,                0.50474,                0.46767,                0.44493,                0.18957,                  1.908,                  1.951,                 2.0144,             0.00041275,             0.00041275,             0.00041275
                     78,                  1.301,                 1.4083,                 1.5299,                0.49185,                0.46276,                0.43934,                0.18586,                 1.9347,                 2.0845,                  2.022,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2416,                 1.2066,                 1.4165,                0.52675,                0.48209,                0.46073,                0.19333,                 1.9103,                 2.1937,                 2.0128,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.3334,                 1.2676,                 1.4519,                0.52427,                0.45258,                0.45318,                 0.1981,                 2.0722,                 2.1057,                  2.178,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.2518,                 1.1844,                 1.4072,                0.51869,                0.44287,                0.44742,                 0.1965,                 1.9762,                 2.1319,                 2.0645,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.2519,                 1.2324,                 1.4079,                0.51489,                0.44153,                0.45142,                0.20213,                 1.9145,                  2.178,                 2.0301,             0.00033023,             0.00033023,             0.00033023
                     83,                  1.198,                 1.1539,                 1.3537,                0.48961,                0.49189,                 0.4549,                0.19869,                 1.8789,                 2.0444,                 2.0136,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.1649,                 1.1303,                 1.3203,                 0.5078,                0.49522,                0.46097,                0.19183,                 1.7975,                 2.1821,                 1.9594,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.2068,                 1.1013,                 1.3683,                0.51737,                0.45777,                0.45836,                0.20191,                 1.8486,                 2.2201,                 1.9977,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.2388,                 1.2314,                 1.4457,                0.52313,                 0.4707,                0.46387,                0.20311,                 1.9349,                 2.1676,                 2.0872,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.2389,                 1.2519,                 1.4863,                0.51923,                0.47649,                0.46635,                0.19969,                   1.87,                 2.1336,                 2.0463,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.1796,                 1.1237,                 1.3686,                0.48974,                0.47266,                0.48349,                0.19728,                 1.9191,                 1.8659,                 2.1385,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.1995,                 1.1116,                 1.3643,                0.49293,                 0.4484,                 0.4815,                0.20388,                 1.9516,                  1.813,                 2.1883,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.1669,                 1.0642,                 1.3464,                0.45119,                0.53978,                0.47655,                0.20145,                 2.0044,                 1.8982,                 2.2228,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.2094,                 1.1864,                 1.4247,                0.46875,                0.53007,                0.48729,                0.20451,                 1.9851,                 1.9075,                 2.1874,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.1487,                 1.1158,                  1.382,                 0.4234,                0.54996,                0.48331,                0.20952,                 1.9299,                 1.9637,                 2.1416,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.1217,                 1.0373,                 1.3755,                0.43559,                0.56855,                0.48983,                0.21555,                 1.9346,                  2.031,                 2.1429,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.0741,                 1.0609,                 1.4124,                 0.5813,                0.46786,                0.49054,                 0.2179,                 1.9538,                 2.0084,                 2.1659,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.1369,                 1.0429,                 1.4095,                0.51827,                0.50658,                0.49253,                0.21583,                 1.9588,                 1.9665,                 2.1711,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.0967,                0.95298,                 1.3272,                0.50236,                0.51631,                0.49036,                0.20665,                 1.9183,                 1.9519,                 2.1319,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.0757,                 1.0114,                 1.3933,                0.54895,                0.47247,                0.47892,                0.20112,                 1.9178,                 1.9271,                 2.1363,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                  1.102,                0.98467,                 1.4087,                0.51187,                0.49199,                0.48528,                0.20147,                 1.9326,                 1.9299,                 2.1446,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.0139,                0.95029,                 1.3485,                0.49575,                0.48699,                 0.4706,                0.20209,                 1.9465,                 1.9113,                 2.1604,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.0289,                0.97268,                 1.3306,                0.47661,                0.53131,                 0.4829,                0.20608,                 1.9571,                 1.9228,                 2.1784,             3.3173e-05,             3.3173e-05,             3.3173e-05
